  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
  0,             0,               0,              0,         0,           0,          0,          0,            0,           0,        0,          0,         0
  1,             0,               0,              0,         0,           0,          0,          1,            1,         101,        0,          1,         1
  2,             1,               0,              0,         1,           0,          1,          2,            2,         115,        1,          3,         8
  3,             2,               0,              0,         3,           0,          2,          3,            3,         167,        3,          5,         3
  4,             4,               1,              1,         4,           1,          3,          4,            4,         130,        6,          8,         1
  5,             5,               1,              1,         8,           1,          3,          5,            5,         149,       11,         10,         1
  6,             9,               4,              1,        10,           3,          3,          6,            6,         146,       15,         13,         1
  7,            12,               6,              1,        13,           5,          4,          7,            7,         242,       20,         14,         1
  8,            13,               6,              1,        15,           5,          5,          8,            8,         138,       26,         20,         1
  9,            14,               6,              1,        19,           3,          5,          9,            9,         230,       34,         24,         1
 10,            16,               7,              2,        22,           4,          6,         10,           10,         334,       40,         29,         2
 11,            18,               8,              2,        25,           6,          6,         11,           11,         269,       47,         32,         2
 12,            19,               8,              2,        28,           6,          7,         12,           12,         177,       54,         38,         1
 13,            20,               8,              2,        30,           7,          9,         13,           13,         178,       62,         42,         1
 14,            21,               8,              2,        32,           7,         10,         14,           14,         192,       67,         46,         2
 15,            22,               8,              2,        35,           7,         10,         15,           15,         181,       75,         51,         2
 16,            23,               8,              2,        36,           7,         11,         16,           16,         203,       84,         57,         3
 17,            24,               8,              2,        42,           5,         10,         17,           17,         271,       94,         63,         2
 18,            25,               8,              3,        46,           5,         17,         18,           18,         259,      102,         69,         2
 19,            27,               9,              2,        49,           6,         19,         19,           19,         284,      112,         72,         3
 20,            28,               9,              2,        53,           6,         11,         20,           20,         244,      121,         82,         3
 21,            29,               9,              2,        55,           7,         11,         21,           21,         269,      131,         86,         3
 22,            30,               9,              2,        58,           7,         11,         22,           22,         231,      138,         90,         3
 23,            31,               9,              2,        63,           7,         11,         23,           23,         258,      148,         94,        38
 24,            32,               9,              2,        65,           7,         19,         24,           24,         331,      157,        100,         3
 25,            33,               9,              2,        67,           8,         13,         25,           25,         364,      166,        106,         3
 26,            34,               9,              2,        70,           8,         13,         26,           26,         301,      176,        110,         9
 27,            35,               9,              2,        74,           8,          4,         27,           27,         288,      184,        116,         4
 28,            37,              10,              2,        76,           9,          6,         28,           28,         371,      193,        123,         4
 29,            39,              11,              2,        79,          10,          2,         29,           29,         376,      203,        128,         3
 30,            40,              11,              2,        83,          10,          2,         30,           30,         348,      211,        134,         5
 31,            41,              11,              2,        85,          10,          5,         31,           31,         492,      221,        138,         4
 32,            42,              11,              2,        86,          10,          2,         32,           32,         351,      229,        145,         4
 33,            43,              11,              2,        92,           8,          2,         33,           33,         297,      241,        153,         4
 34,            44,              11,              2,        97,           8,          2,         34,           34,         463,      254,        160,         6
 35,            46,              12,              3,       104,           9,          2,         35,           35,         442,      266,        165,         4
 36,            48,              13,              4,       109,          10,          2,         36,           36,         333,      277,        173,         5
 37,            50,              14,              3,       111,          11,          3,         37,           37,         273,      289,        178,         4
 38,            55,              18,              3,       118,          14,          2,         38,           38,         248,      298,        184,         4
 39,            56,              18,              3,       123,          13,          2,         39,           39,         595,      310,        192,         5
 40,            57,              18,              3,       124,          13,          2,         40,           40,         393,      319,        198,         5
 41,            58,              18,              3,       127,          14,          3,         41,           41,         531,      331,        202,         6
 42,            59,              18,              3,       132,          13,          3,         42,           42,         269,      344,        214,         5
 43,            61,              19,              3,       134,          15,          5,         43,           43,         334,      355,        219,         5
 44,            63,              20,              4,       139,          16,          3,         44,           44,         216,      365,        222,         5
 45,            65,              21,              4,       147,          17,          2,         45,           45,         218,      377,        229,         6
 46,            66,              21,              3,       147,          17,          4,         46,           46,         192,      388,        237,         6
 47,            67,              21,              3,       154,          17,          3,         47,           47,         332,      400,        245,        11
 48,            68,              21,              4,       156,          17,          4,         48,           48,         334,      411,        251,         7
 49,            69,              21,              4,       158,          17,          4,         49,           49,         743,      423,        256,        17
 50,            71,              22,              4,       159,          19,          4,         50,           50,         691,      434,        263,         8
 51,            72,              22,              4,       165,          19,          4,         51,           51,         198,      446,        272,         7
 52,            73,              22,              4,       169,          19,          5,         52,           52,         195,      456,        278,         7
 53,            75,              23,              4,       177,          20,          3,         53,           53,         190,      470,        285,         7
 54,            77,              24,              4,       179,          22,          3,         54,           54,         587,      481,        292,         9
 55,            78,              24,              4,       185,          21,          4,         55,           55,         206,      491,        300,         5
 56,            80,              25,              4,       186,          22,          3,         56,           56,         350,      502,        302,         6
 57,            81,              25,              5,       185,          22,          5,         57,           57,         275,      512,        310,         6
 58,            82,              25,              5,       188,          21,          5,         58,           58,         831,      523,        321,         6
 59,            83,              25,              5,       197,          23,          5,         59,           59,         793,      535,        326,         6
 60,            85,              26,              4,       199,          24,          4,         60,           60,         231,      545,        333,         6
 61,            86,              26,              5,       200,          23,          4,         61,           61,         200,      558,        340,         5
 62,            87,              26,              5,       205,          23,          4,         62,           62,         228,      567,        347,         6
 63,            88,              26,              5,       204,          23,          5,         63,           63,         216,      580,        353,         6
 64,            89,              26,              5,       205,          23,          4,         64,           64,         234,      590,        356,         6
 65,            90,              26,              5,       212,          20,          4,         65,           65,         209,      602,        360,         5
 66,            91,              26,              5,       216,          21,          4,         66,           66,         215,      617,        373,         6
 67,            92,              26,              5,       228,          21,          6,         67,           67,         269,      635,        382,         5
 68,            94,              27,              5,       230,          22,          6,         68,           68,         888,      647,        392,         6
 69,            97,              29,              5,       239,          24,          9,         69,           69,         954,      662,        400,         6
 70,           100,              31,              6,       241,          24,          5,         70,           70,         270,      675,        407,         6
 71,           101,              31,              5,       250,          26,          5,         71,           71,         286,      685,        409,         7
 72,           102,              31,              5,       252,          24,          8,         72,           72,         272,      696,        417,         7
 73,           104,              32,              5,       257,          25,          5,         73,           73,         254,      712,        424,         7
 74,           106,              33,              6,       261,          25,          5,         74,           74,         280,      725,        433,         6
 75,           107,              33,              6,       266,          27,          5,         75,           75,         764,      738,        437,         8
 76,           108,              33,              6,       274,          29,          6,         76,           76,        1850,      752,        449,         8
 77,           109,              33,              7,       278,          26,          6,         77,           77,         278,      763,        455,         7
 78,           111,              34,              6,       283,          28,          8,         78,           78,         258,      779,        464,         7
 79,           112,              34,              6,       282,          27,          5,         79,           79,         255,      792,        470,         6
 80,           113,              34,              6,       284,          27,          5,         80,           80,         252,      809,        478,         6
 81,           114,              34,              6,       287,          28,          6,         81,           81,         260,      820,        484,         6
 82,           115,              34,              6,       299,          30,          5,         82,           82,         262,      832,        496,         7
 83,           116,              34,              6,       302,          27,          5,         83,           83,         262,      847,        500,         6
 84,           117,              34,              7,       305,          27,          5,         84,           84,         262,      858,        512,         6
 85,           118,              34,              6,       310,          30,          5,         85,           85,         268,      874,        518,         6
 86,           119,              34,              6,       312,          28,          6,         86,           86,         241,      887,        527,         6
 87,           120,              34,              6,       318,          28,          6,         87,           87,         284,      905,        531,         7
 88,           121,              34,              6,       321,          28,          7,         88,           88,        2441,      914,        541,         9
 89,           122,              34,              7,       329,          30,         11,         89,           89,         481,      927,        549,         7
 90,           124,              35,              6,       331,          29,          4,         90,           90,         293,      941,        558,         8
 91,           125,              35,              6,       338,          30,          5,         91,           91,         273,      960,        564,         7
 92,           126,              35,              6,       340,          30,          2,         92,           92,         367,      973,        568,         7
 93,           128,              36,              7,       343,          30,          3,         93,           93,         288,      989,        579,         7
 94,           129,              36,              6,       350,          30,          4,         94,           94,         266,     1000,        589,         7
 95,           130,              36,              6,       348,          30,          2,         95,           95,         259,     1015,        595,         7
 96,           131,              36,              7,       350,          30,          2,         96,           96,         286,     1030,        606,         8
 97,           132,              36,              6,       359,          32,          3,         97,           97,         292,     1045,        612,         8
 98,           134,              37,              7,       364,          31,          5,         98,           98,        3762,     1057,        621,        10
 99,           136,              38,              7,       361,          33,          7,         99,           99,         308,     1072,        628,         9
100,           137,              38,              8,       368,          33,          3,        100,          100,         264,     1086,        638,         9
